countryCode,bathingWaterIdentifier,groupIdentifier,nameText,specialisedZoneType,geographicalConstraint,lon,lat,bwProfileUrl,quality1990,quality1991,quality1992,quality1993,quality1994,quality1995,quality1996,quality1997,quality1998,quality1999,quality2000,quality2001,quality2002,quality2003,quality2004,quality2005,quality2006,quality2007,quality2008,quality2009,quality2010,quality2011,quality2012,quality2013,quality2014,quality2015,quality2016,quality2017,quality2018,monitoringCalendar2018,management2018,quality2019,monitoringCalendar2019,management2019,quality2020,monitoringCalendar2020,management2020
DK,DKBW1077,,FLUEPAPIRET,coastalBathingWater,FALSE,9.78626,54.90442,https://pulsproddatasto.blob.core.windows.net/files/vdmg4sjh.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Good or Sufficient,Excellent,Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW240,,EJERSLEV LYNG,coastalBathingWater,FALSE,8.91213,56.91028,https://pulsproddatasto.blob.core.windows.net/files/biolp5tf.pdf,,Good or Sufficient,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW243,,KARBY,coastalBathingWater,FALSE,8.55645,56.75572,https://pulsproddatasto.blob.core.windows.net/files/52kpnkat.pdf,,Good or Sufficient,Good or Sufficient,Excellent,Poor,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Poor,Excellent,Excellent,Excellent,Good or Sufficient,Poor,Good or Sufficient,Good or Sufficient,Good or Sufficient,Poor,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Sufficient,Good,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW25,,BANDHOLM BADEANSTALT,coastalBathingWater,FALSE,11.49192,54.83926,https://pulsproddatasto.blob.core.windows.net/files/h2ni1rpl.pdf,,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW3,,GL. STRANDSKOV,coastalBathingWater,FALSE,12.19131,55.22403,https://pulsproddatasto.blob.core.windows.net/files/3mb4bj11.pdf,,Good or Sufficient,Excellent,Excellent,Poor,Good or Sufficient,Good or Sufficient,Good or Sufficient,Good or Sufficient,Poor,Poor,Poor,Poor,Excellent,Good or Sufficient,Excellent,Excellent,Poor,Poor,Good or Sufficient,Good or Sufficient,Poor,Sufficient,Sufficient,Good,Good,Good,Good,Good,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW309,,STRANDHOTEL THISTED,coastalBathingWater,FALSE,8.66205,56.94345,https://pulsproddatasto.blob.core.windows.net/files/qlqluw14.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW315,,VIBORG NØRRESØ - KÆRVÆNGET INDRE,lakeBathingWater,FALSE,9.42449,56.462,https://pulsproddatasto.blob.core.windows.net/files/wrujlcr0.pdf,,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW317,,VIBORG SØNDERSØ - SØNDERSØ CAMPING,lakeBathingWater,FALSE,9.41795,56.43903,https://pulsproddatasto.blob.core.windows.net/files/23h0hqa0.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW368,,PEDER MADS STRAND,coastalBathingWater,FALSE,12.53229,55.9504,https://pulsproddatasto.blob.core.windows.net/files/zs3bsqyd.pdf,,Good or Sufficient,Poor,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Good or Sufficient,Excellent,Good,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW375,,HVIDE KLINT,coastalBathingWater,FALSE,12.0166,55.95356,https://pulsproddatasto.blob.core.windows.net/files/zse5fhjj.pdf,,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Poor,Poor,Excellent,Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
